ranking;project;language;stars;stars_today;forks
1;Shubhamsaboo/awesome-llm-apps;Python;39727;1598;4543
2;sindresorhus/awesome;Desconhecida;367699;516;29563
3;xiangechen/chili3d;TypeScript;2359;347;200
4;datawhalechina/self-llm;Jupyter Notebook;18131;182;1914
5;jdepoix/youtube-transcript-api;Python;4784;169;521
6;microsoft/ai-agents-for-beginners;Jupyter Notebook;26307;326;7120
7;confident-ai/deepeval;Python;7806;186;701
8;YaLTeR/niri;Rust;8460;122;279
9;FareedKhan-dev/all-rag-techniques;Jupyter Notebook;3887;400;524
10;virattt/ai-hedge-fund;Python;36143;158;6282
